artist,genre,pronoun,artistUrl,songUrl,alias1,alias2
Stellar Om Source,acid,she,https://soundcloud.com/omsource,https://www.youtube.com/watch?v=Y2s7xVrjmM8,,
stud1nt,left field,they,https://soundcloud.com/stud1nt,https://soundcloud.com/clubchai/stud1nt-suture,,
Sue Zuki,expirimental ,she,https://soundcloud.com/suezuki,https://soundcloud.com/suezuki/kleft-remix-boring-af,,
Sui Zhen,pop,she,https://soundcloud.com/sui-zhen,https://www.youtube.com/watch?v=WpJGtfd5Xio,,
Sundaysaurus,left field,she,https://soundcloud.com/sundaysaurus,https://soundcloud.com/chowdownmcr/pretty-poison-single,,
Sunta,house,she,https://soundcloud.com/suntaaaaa,https://soundcloud.com/suntaaaaa/such-a-feeling-original,,
surgeon's girl,left field,she,https://soundcloud.com/surgeonsgirl,https://www.youtube.com/watch?v=5w5Y6_NjEYQ,,
Suyá Synergy,left field,she,https://soundcloud.com/suya_experimenteaser,https://soundcloud.com/suya_experimenteaser/how-about-now-mix,,
Svetlana,left field,she,https://soundcloud.com/svetlanamusic,https://soundcloud.com/svetlanamusic/bali-hai-1,,
Swan Meat,expirimental ,she,https://soundcloud.com/swanmeat,https://soundcloud.com/swanmeat/jealous,,
system olympia,electro,she,https://soundcloud.com/systemolympia,https://soundcloud.com/slow-motion-records/system-olympia-night-rise,,
TAALIAH,left field,she,https://soundcloud.com/taahliah,https://soundcloud.com/taahliah/bourgeoisie-1?in=taahliah/sets/angelica,,
Tailor Jae,bass,she,https://soundcloud.com/tailorjae,https://soundcloud.com/tailorjae/tailor-jae-ode-to-dex?in=tailorjae/sets/productions,,
Take Van,drum and bass,she,https://soundcloud.com/takevan,https://soundcloud.com/takevan/time-goes-by,,
tamanaramen,expirimental ,she,https://soundcloud.com/user-tamanaramen,https://play.google.com/music/preview/Tg35imephokts7wmksrbdosckoa?play=1, 玉名ラーメン ,
Tami T,left field,she,https://soundcloud.com/tamitmusic,https://www.youtube.com/watch?v=LDk1Q6VoleA,,
Tammy Lakkis ,left field,she,https://soundcloud.com/tammylakkis,https://soundcloud.com/tammylakkis/notice,,
Tayhana,left field,she,https://soundcloud.com/tayhana,https://soundcloud.com/tayhana/demasiado-deseada,,
TC4,garage,"group - she, he",https://soundcloud.com/tc4wolves,https://www.youtube.com/watch?v=OvrQIYaRd18,,
Terr,house,she,https://soundcloud.com/terr_music,https://www.youtube.com/watch?v=AjK8T4E5Pu8,,
Tora Vinter,left field,she,https://soundcloud.com/toravinter,https://www.youtube.com/watch?v=5jcEjaQpCMU,,
